magnetic	[mægˈnetɪk] a. 磁的，有磁性的；有吸引力的
arthritis	[ɑːˈθraɪtɪs] n. 关节炎
flint	[flɪnt] n. 火石，打火石
tackle	_tackle___ [ˈtækl] v. 对付，处理；向某人提起（问题或困难情况）；（足球等比赛中）抢截，抢球
impulse	[ˈɪmpʌls] n. 冲动，突如其来的念头；刺激，驱使；脉冲
independent	|
ability	[əˈbɪlətɪ] n. 能力；本领；才能
pad	|
ambassador	[æmˈbæsədə(r)] n. 大使，使节
advantageous	[ˌædvənˈteɪdʒəs] a. 有利的
harridan	[ˈhærɪdən] n. 凶恶的老妇；老巫婆
theoretical	[ˏθɪəˈretɪkl] a. 理论（上）的
tribal	[ˈtraɪbl] a. 部落的，部族的；集团意识强的
reckon	[ˈrekən] v. 认为，估计；测算，测量；料想，指望
catalogue	|
bow	|
fatal	[ˈfeɪtl] a. 致命的；重大的；命中注定的；灾难性的
bore	|
laser	[ˈleɪzə(r)] n. 激光
cultural	[ˈkʌltʃərəl] a. 文化的，人文的
barrage	[ˈbærɑːʒ] n. 弹幕射击；火力网
legacy	[ˈlegəsɪ] n. 遗产，遗赠
carve	[kɑːv] v. 切；雕刻
equal	|
extensive	[ɪkˈstensɪv] a. 广大的，广阔的；广泛的
efficient	[ɪˈfɪʃnt] a. 有效的，效率高的；有能力的，能胜任的
series	[ˈsɪəriːz] n. 一系列，连续；丛书
wax	|
profound	[prəˈfaund] a. 深切的，深远的；知识渊博的，见解深刻的，深奥的
grill	|
adjacent	[əˈdʒeɪsnt] a. 邻近的，毗连的
express	|
collateral	[kəˈlætərəl] a. 并行的；间接的，附带的
cater	[ˈkeɪtə(r)] v. 提供饮食；迎合，满足需要（或欲望）
brew	[bruː] v. 酿造；冲泡；酝酿
edible	[ˈedəbl] a. 可食用的
transport	|
manipulative	__manipulatvie__ [mə'nɪpjələtɪv] a. 操纵别人的；老于世故的
overhead	|
simplistic	[sɪmˈplɪstɪk] a. 过分单纯化的，过分简单化的
attitude	[ˈætɪtjuːd] n. 态度，看法；姿势
gear	|
tolerate	[ˈtɔləreɪt] vt. 容忍，宽容；容许，承认
entertain	[ˏentəˈteɪn] v. （使）欢乐，（使）娱乐；招待
unblemished	[ʌnˈblemɪʃt] a. 无瑕疵的，完好的
rural	[ˈruərəl] a. 农村的，乡村的
remark	|
artefact	[ˈɑ:tɪfækt] n. 人工制品，手工艺品
content	|
account	|
utterance	[ˈʌtərəns] n. 用言语表达，讲话；话语，言语，言论
surgeon	[ˈsɜːdʒən] n. 外科医生
invoke	[ɪnˈvəuk] vt. 恳求，祈求；援用，援引；使用，应用
darkroom	[ˈdɑ:kru:m] n. 暗室
publicity	[pʌbˈlɪsətɪ] n. 宣传，宣扬；公众的注意，名声
ingredient	[ɪnˈgriːdɪənt] n. （混合物的）组成部分，成分；（烹调的）原料；（构成）要素，因素
catastrophic	[ˌkætə'strɒfɪk] a. 悲惨的；灾难性的
hamlet	[ˈhæmlɪt] n. 小村庄
rear	|
dismiss	[dɪsˈmɪs] v. 解雇，解散；驳回，不受理
schedule	|
preference	_preference___ [ˈprefrəns] n. 喜爱；偏爱的事物（或人）；优先
disturb	[dɪˈstɜːb] v. 扰乱；弄乱，打乱；打扰，使烦恼
decompose	[ˏdiːkəmˈpəuz] v. （使）分解，（使）腐烂
create	[kriːˈeɪt] vt. 创造，创作；产生
transcribe	[trænˈskraɪb] vt. 抄写，誊写；打印；转录
homogeneous	[ˏhɔməˈdʒiːnɪəs] a. 同种类的，由相同（或同类型）事物（或人）组成的
spectator	[spekˈteɪtə(r)] n. 观众；旁观者
crew	[kruː] n. 全体船员；工作人员；队，组
goal	[gəul] n. 球门；射门，进球得分；目标
merge	[mɜːdʒ] v. （使）结合
prolonged	[prəˈlɒŋd] a. 持久的，长期的
vulgar	[ˈvʌlgə(r)] a. 庸俗的，粗俗的，下流的，缺乏教养的；大众的，通俗的
atomic	[əˈtɔmɪk] a. 原子（能）的
reptile	[ˈreptaɪl] n. 爬行动物，爬虫类；卑鄙的人
render	[ˈrendə(r)] vt. 使得，致使；给予，以……回报；提供；呈报，递交；表达；表演；翻译
pedestrian	|
crust	[krʌst] n. 硬层，硬表面，地壳；（一片）面包皮
hospitable	[hɔˈspɪtəbl] a. 好客的，殷勤的，热情友好的；（气候、环境）宜人的；（对新思想等）易接受的，开通的
hug	[hʌg] n./v. （热烈的/地）拥抱
desire	[dɪˈzaɪə(r)] v./n. 想望，期望；要求
radius	[ˈreɪdɪəs] n. 半径；周围，范围
consult	[kənˈsʌlt] v. 请教；查阅；商议
embassy	[ˈembəsɪ] n. 大使馆；大使馆全体官员
suburb	[ˈsʌbɜːb] n. 郊区
unrealistic	[ˌʌnrɪəˈlɪstɪk] a. 不现实的，不切实际的
violate	[ˈvaɪəleɪt] vt. 违反，违犯，违背；亵渎，侵犯，干扰
corpus	[ˈkɔːpəs] n. 文集，文献，汇编；语料库
cereal	[ˈsɪərɪəl] n. 谷类植物；谷物；谷类食物
confirmation	__confimation__ [ˏkɔnfəˈmeɪʃn] n. 证实，确认；批准
hamper	|
afield	[əˈfiːld] ad. 在野外，在田中；在战场上；背井离乡地；到远方，在远处
violent	[ˈvaɪələnt] a. 暴力的；带有强烈感情的；猛烈的
disregard	|
destructive	[dɪˈstrʌktɪv] a. 破坏（性）的
assign	[əˈsaɪn] vt. 指派，分配；指定
embryo	[ˈembrɪəu] n. 胚，胚胎；事物的萌芽期
memorable	[ˈmemərəbl] a. 容易记住的；难忘的
suitably	[ˈsu:təbli] ad. 合适地，适宜地，相称地
mattress	[ˈmætrɪs] n. 床垫
orthodox	[ˈɔːθədɔks] a. 正统的，传统的
hurdle	|
departmental	[‚diːpɑːt'mentl] a. 部门的
breakdown	[ˈbreɪkdaun] n. 垮台，倒塌，破裂；（健康、精神等）衰竭，衰弱；（机器等的）损坏，故障；分类
profession	[prəˈfeʃn] n. 行业，职业；宣称，表白
statistics	[stəˈtɪstɪks] n. 统计数字，统计资料；统计学
linger	[ˈlɪŋgə(r)] vi. 继续逗留；缓慢消失
principal	|
utilise	[ˈjuːtəlaɪz] vt. 利用，运用
switch	|
slumber	|
similarly	['sɪmələlɪ] ad. 同样地，类似地
spiral	|
resist	[rɪˈzɪst] v. 抵抗；抗（病等）；耐（热等）
aspiration	[ˏæspəˈreɪʃn] n. 强烈的愿望；志向
farewell	[ˏfeəˈwel] n. 告别；欢送会
colour-blind	['kʌlə(r) blaɪnd] a. 色盲的
postgraduate	[ˏpəustˈgrædʒuət] n. 研究生
irritation	[‚ɪrɪ'teɪʃn] n. 激怒，恼怒；刺激物，恼人的事
reliance	[rɪˈlaɪəns] n. 依靠，依赖
circle	|
cooperate	[kəuˈɔpəreɪt] vi. 合作，协作
apart	|
extremely	[ɪkˈstri:mli] ad. 极端地；非常地
indifferent	[ɪnˈdɪfrənt] a. 冷漠的，不关心的
artery	[ˈɑːtərɪ] n. 动脉；干线，要道
stroke	|
terrestrial	[təˈrestrɪəl] a. 陆地的，陆生的，陆栖的；地球的
tickle	|
scenery	[ˈsiːnərɪ] n. 舞台布景；风景，景色
overrate	[ˏəuvəˈreɪt] vt. 对……评价过高，高估
blast	|
productivity	[ˏprɔdʌkˈtɪvətɪ] n. 生产力；生产率
trick	|
inhale	[ɪnˈheɪl] v. 吸（烟），吸气
hinterland	[ˈhɪntəlænd] n. 内地，腹地，内陆
inference	[ˈɪnfərəns] n. 推论；推断
disadvantage	[ˏdɪsədˈvɑːntɪdʒ] n. 缺点，不利
succumb	[səˈkʌm] vi. 屈服，屈从；（因……）死亡
ulterior	[ʌlˈtɪərɪə(r)] a. 较远的；不可告人的，隐秘的，秘密的
aridity	[ə'rɪdətɪ] n. 干旱；乏味
breakwater	[ˈbreɪkwɔːtə(r)] n. 防浪堤
consolidation	[kənˌsɒlɪ'deɪʃən] n. 合并；巩固
grimy	['ɡraɪmɪ] a. 积满污垢的，肮脏的
climate	[ˈklaɪmɪt] n. 气候；风气，思潮
eminent	[ˈemɪnənt] a. 杰出的，显赫的
provenance	[ˈprɔvənəns] n. 出处，起源
precision	[prɪˈsɪʒn] n. 准确，精确；精确度
reorient	[ˌri:'ɔ:rɪent] vt. 重新定位方位；重新定位；使适应
breakthrough	[ˈbreɪkθru:] n. 突破；重大进展
lateral	[ˈlætərəl] a. 侧面的，旁边的
formal	[ˈfɔːml] a. 正式的；正规的
damp	|
replicate	['replɪkeɪt] vt. 重复，复现或复制；再制造；再生
location	[ləuˈkeɪʃn] n. 位置，场所；（电影的）外景拍摄地
helix	[ˈhiːlɪks] n. 螺旋（形），螺旋结构
alley	[ˈælɪ] n. 小巷；胡同
organize	[ˈɔːgənaɪz] v. 组织，使有条理；成立
exhilaration	[ɪɡˌzɪlə'reɪʃn] n. 高兴；兴奋
addition	[əˈdɪʃn] n. 加，增加（物）
concrete	|
stem	|
cylinder	[ˈsɪlɪndə(r)] n. 圆柱体；圆筒；汽缸
status	[ˈsteɪtəs] n. 地位；身份；状况
factual	[ˈfæktʃuəl] a. 事实的；真实的，确凿的
duplicate	|
volcano	__valcono__ [vɔlˈkeɪnəu] n. 火山
corrupt	|
rigid	[ˈrɪdʒɪd] a. 严格的，死板的；刚硬的，僵硬的
foster	|
eligible	[ˈelɪdʒəbl] a. 符合条件的；合适的
nevertheless	|
swivel	|
adhere	[ədˈhɪə(r)] vi. 黏附；遵守；坚持
breeze	[briːz] n. 微风，和风
allure	[əˈluə(r)] n./v. 诱惑，吸引
embark	[ɪmˈbɑːk] v. （使）上船或飞机；（使）从事
spectacular	|
wire	[ˈwaɪə(r)] n. 金属丝；电线
transportation	[ˌtrænspɔ:ˈteɪʃn] n. 运输，运输系统，运输工具
delay	[dɪˈleɪ] n./v. 耽搁，延迟，延期，迟滞
consequence	[ˈkɔnsɪkwəns] n.[常pl.] 结果，影响；重要意义
ethereal	[ɪˈθɪərɪəl] a. 太空的；轻巧的
barren	[ˈbærən] a. （土地等）贫瘠的，荒芜的；不结果实的，不育的；无益的，无效果的
outline	|
furniture	[ˈfɜːnɪtʃə(r)] n. 家具
entrepreneurial	__entreprenurial__ [ˌɒntrəprə'nɜ:rɪəl] a. 创业的
banner	[ˈbænə(r)] n. 横幅；旗帜
thrifty	[ˈθrɪfti] a. 节俭的，节约的
stash	__stach__ [stæʃ] vt. 藏匿；贮藏
intrinsic	[ɪnˈtrɪnsɪk] a. 固有的，内在的；本质的
luggage	[ˈlʌgɪdʒ] n. 行李
gamble	[ˈgæmbl] v. 赌博，打赌；投机；冒险
adaptation	[ˌædæpˈteɪʃn] n. 适应；改编；改制物
frank	[fræŋk] a. 坦白的，直率的
pardon	|
luxuriant	[lʌgˈʒuərɪənt] a. 繁茂的；肥沃的；丰富的
acumen	[ˈækjumen] n. 敏锐；精明
notice-board	__notice__ __board__ 布告牌，公告牌
gullibly	['gʌləblɪ] ad. 轻信地，易受欺骗地
definition	[ˏdefɪˈnɪʃn] n. 定义，释义；清晰（度）
lax	[læks] a. 懒散的；松弛的，不严格的，马虎的
windscreen	[ˈwɪndskri:n] n. 挡风玻璃；风档
brilliant	__briliant__ [ˈbrɪlɪənt] a. 光辉灿烂的；卓越的，有才华的
genetic	|
velocity	[vɪˈlɔsətɪ] n. 速度，速率；迅速，快速
institution	_institution___ [ˏɪnstɪˈtjuːʃn] n. （行业）协会；机构；制度；习俗；团体；设立，制定
vision	[ˈvɪʒn] n. 想象力；视力，视觉；梦幻，幻觉
encode	[ɪnˈkəud] vt. 把（电文等）译成电码（或密码），把……编码
conduce	[kənˈdjuːs] v. 有益于，有助于；导致
appliance	[əˈplaɪəns] n. 用具，器具
gallop	[ˈgæləp] v./n. 奔驰，飞跑，飞驰
objective	|
excavation	[ˌekskəˈveɪʃn] n. 挖掘，发掘；出土文物
engrave	[ɪnˈgreɪv] vt. （在……上）雕刻；（使）铭记
quota	[ˈkwəutə] n. 定额，限额，配额
expedition	[ˏekspɪˈdɪʃn] n. 远征，探险，考察；（短途的）旅行，出行；远征队，探险队，考察队
vast	[vɑːst] a. 巨大的；大量的
headmaster	[ˌhedˈmɑ:stə(r)] n. （中小学）校长
compass	[ˈkʌmpəs] n. 罗盘，罗盘仪；界限，范围；[pl.] 圆规
eject	[ɪˈdʒekt] v. 弹出；喷出；驱逐，逐出
conservation	[ˏkɔnsəˈveɪʃn] n. 保存；保护
athlete	[ˈæθliːt] n. 运动员；体育家
baffle	|
accuracy	[ˈækjərəsɪ] n. 准确（性），精确（性）
subtle	[ˈsʌtl] a. 细微的，微妙的，难以捉摸的；隐约的；精巧的，巧妙的；诡秘的，狡诈的
incorporate	[ɪnˈkɔːpəreɪt] vt. 把……合并，纳入；包含，吸收
detour	|
interdependent	[ˏɪntədɪˈpendənt] a. 互相依赖的，互助的
adolescence	[ˏædəˈlesns] n. 青春，青春期
route	[ruːt; raut] n. 路线；路程
crown	[kraun] n. 王冠；花冠；齿冠
reinforcement	[ˌri:ɪn'fɔ:smənt] n. 增援，加强，加固
excursion	[ɪkˈskɜːʃn] n. 远足，短途旅游；[物] 偏移，漂移
almond	[ˈɑːmənd] n. 杏树；杏仁
wean	[wiːn] vt. （使）断奶，（使）戒掉
reclaim	[rɪˈkleɪm] vt. 纠正；要求归还，收回；开垦（土地）
prey	|
alleviate	[əˈliːvɪeɪt] vt. 减轻，缓解，缓和
bamboo	[bæmˈbuː] n. 竹子
entail	[ɪnˈteɪl] vt. 牵涉；需要
adverse	[ˈædvɜːs] a. 不利的，有害的
bungalow	[ˈbʌŋgələu] n. （带走廊的）平房
desert	|
achievement	[əˈtʃi:vmənt] n. 成就，成绩；达到，完成，实现
payable	[ˈpeɪəbl] a. 可支付的；应支付的
preferable	[ˈprefrəbl] a. 更可取的，更好的，更合意的
facade	[fəˈsɑːd] n. 正面；（虚伪的）外表
chest	[tʃest] n. 胸；金库，资金
storyline	[ˈstɔ:rilaɪn] n. 故事情节
detract	[dɪˈtrækt] v. 去掉，减损
inhabitant	[ɪnˈhæbɪtənt] n. 居民，住户，居住者；栖息的动物
resistant	[rɪˈzɪstənt] a. 抵抗的，有抵抗力的
split	|
fashion	[ˈfæʃn] n. 方式；流行款式；时装
innocent	[ˈɪnəsnt] a. 清白的；无害的；天真的
relevant	[ˈreləvənt] a. 有关的，相应的；适当的，中肯的；有重大意义的
oxygen	[ˈɔksɪdʒən] n. 氧，氧气
greasy	[ˈgriːsɪ] a. 多脂的；油滑的
cardiovascular	[ˌkɑ:diəʊˈvæskjələ(r)] a. 心血管的
gill	[gɪl] n. 鳃
stimulus	[ˈstɪmjuləs] n. 刺激（物），促进（因素）
emboss	[ɪmˈbɔs] vt. 使……凸出；压花（纹）
component	|
diesel	[ˈdiːzl] n. 柴油；柴油机；柴油车
incentive	[ɪnˈsentɪv] n. 刺激；激励
fuel	|
resilience	[rɪˈzɪliəns] n. 弹性，弹力；复原力；适应性；（指人）乐观的性情
bronchitis	[brɔŋˈkaɪtɪs] n.[医] 支气管炎
mortality	[mɔːˈtælətɪ] n. 死亡率
missile	[ˈmɪsaɪl] n. 发射物；导弹，飞弹
medium	|
badge	[bædʒ] n. 徽章；标记；象征
exile	|
sample	|
institute	|
congress	['kɒŋɡres] n. （代表）大会；（美国等国的）国会，议会
cautious	[ˈkɔːʃəs] a. 十分小心的，谨慎的
willing	[ˈwɪlɪŋ] a. 愿意的，乐意的
effect	|
dazzle	|
devise	[dɪˈvaɪz] vt. 设计，发明
extract	|
rekindle	[ˏriːˈkɪndl] vt. 重新点燃；使复苏
hierarchy	[ˈhaɪərɑːkɪ] n. 领导层；层次，等级
practically	[ˈpræktɪkli] ad. 几乎，简直；实际上
pulley	[ˈpulɪ] n. 滑轮；滑车
drum	[drʌm] n. 鼓，鼓状物
intact	[ɪnˈtækt] a. 完整无缺的；完好无损的
continuous	[kənˈtɪnjuəs] a. 连续的，不断的
revenue	[ˈrevənjuː] n. （尤指大宗的）收入；税收
inherent	[ɪnˈhɪərənt] a. 内在的；生来就有的
pathway	[ˈpɑ:θweɪ] n. 路径，途径
lenient	[ˈliːnɪənt] a. （执法时）宽大的，宽容的；厚道的，仁慈的
wrap	[ræp] v. 裹；包；缠绕
rival	|
defect	|
strain	[streɪn] v./n. 拉紧，绷紧；扭伤，拉伤；（使）过劳，（使）极度紧张
lecture	[ˈlektʃə(r)] n. 演讲，讲课
disdain	[dɪsˈdeɪn] v./n. 鄙视，蔑视
credibility	[ˌkredəˈbɪləti] n. 可信性，可靠性
identification	[aɪˌdentɪfɪˈkeɪʃn] n. 身份证明；识别，鉴定
engage	[ɪnˈgeɪdʒ] v. 吸引（某人的注意力等）；占用（某人的时间）；使从事于，使忙于；雇用，聘用；与（某人）交战；（指机器零件等）啮合，衔接
ministry	[ˈmɪnɪstrɪ] n. （政府的）部
agency	[ˈeɪdʒənsɪ] n. 机构；代理，代办
exploitative	[ɪkˈsplɔɪtətɪv] a. 开发的，利用的；剥削的
bypass	|
prohibitive	[prəˈhɪbətɪv] a. 禁止的，抑制的；令人望而却步的
excreta	[ɪkˈskriːtə] n. 排泄物
presumably	[prɪˈzju:məbli] ad. 推测起来，大概
dupe	|
nutritious	[njuˈtrɪʃəs] a. 有营养的，营养丰富的
flutter	[ˈflʌtə(r)] v. 振（翅），拍打（翅膀）；飘动，晃动；（快速而不规则地）跳动
barrel	[ˈbærəl] n. 桶，圆筒
poison	|
response	[rɪˈspɔns] n. 回答，答复；反应，响应
starve	[stɑːv] v. （使）挨饿；（使）饿死
ecosystem	[ˈiːkəusɪstəm] n. 生态系统
deteriorate	[dɪˈtɪərɪəreɪt] v. 变坏，恶化；退化
aeration	[eə'reɪʃn] n. 通风
assistant	|
orientate	[ˈɔːrɪənteɪt] vt. 使适应，使熟悉情况（或环境等）；给……定位，给……定向；使朝向；转至特定方向；适应（=orient）
feather	[ˈfeðə(r)] n. 羽毛，翎毛
vague	[veɪg] a. 模糊的；含糊的
mall	[mɔːl] n. 购物中心
withstand	[wɪðˈstænd; wɪθˈs-] vt. 抵挡；经受住
pack	|
Kung-Fu	Kung Fu [ˏkʌŋ ˈfu] n. 功夫
mould	|
apparently	[əˈpærəntli] ad. 显然；看来，似乎
attainable	[əˈteɪnəbl] a. 可获得的，可达到的，可实现的
textile	[ˈtekstaɪl] n. 纺织品
dispute	|
flight	[flaɪt] n. 航班
reluctant	[rɪˈlʌktənt] a. 不情愿的，勉强的；难得到的，难处理的
womb	[wuːm] n. 子宫；发源地
overshadow	[ˏəuvəˈʃædəu] vt. 给……蒙上阴影；使扫兴；使黯然失色
clinic	[ˈklɪnɪk] n. 门诊部，诊所
curious	[ˈkjuərɪəs] a. 好奇的；奇怪的
aeroplane	[ˈeərəpleɪn] n. 飞机
calorie	[ˈkælərɪ] n. 卡（路里）， 大卡（食物的热量）
soluble	[ˈsɔljubl] a. 可溶的；可解决的
forum	[ˈfɔːrəm] n. 论坛；讨论会
tab	__tag__ [tæb] n. 标签
timid	[ˈtɪmɪd] a. 胆小的；羞怯的
normal	[ˈnɔːml] a. 正常的，平常的；标准的，规范的，正规的
futile	[ˈfjuːtaɪl] a. 无效的，无用的，无意义的；（人）没出息的；琐细的
hose	|
unique	[juːˈniːk] a. 唯一的，独一无二的；极不寻常的，极好的
detach	[dɪˈtætʃ] v. 分开，分离；分遣
unyielding	[ʌnˈjiːldɪŋ] a. 顽强的；坚硬的；不能弯曲的，坚固的
tick-off	__tick off__ [tik ɔf] 用记号勾出，给……打核对号
celebrate	[ˈselɪbreɪt] v. 赞扬，歌颂；庆祝
prepare	[prɪˈpeə(r)] v. 准备，预备
demerit	[diːˈmerɪt] n. 过失；缺点，短处
demolition	[ˌdemə'lɪʃn] n. 拆除；破坏，毁坏
coarse	[kɔːs] a. 粗的；粗糙的；粗劣的
collect	[kəˈlekt] v. 收集，搜集；领取，接走；收（税等）；聚焦；积累
bookrest	['bʊkrest] n. 阅书架
excusable	[ɪkˈskju:zəbl] a. 可原谅的；可谅解的；可容许的
serial	|
treadmill	[ˈtredmɪl] n. （人或畜力的）踏车；累人的活；单调的例行工作，乏味繁重的工作
consumption	__comsumption__ [kənˈsʌmpʃn] n. 消耗（量）；消费（量）
recalcitrant	[rɪˈkælsɪtrənt] a. 顽抗的，反抗的
catastrophe	__catrastrophe__ [kəˈtæstrəfɪ] n. 大灾难
comply	[kəmˈplaɪ] vi. 遵从；服从
trinket	[ˈtrɪŋkɪt] n. 小装饰品；不值钱的珠宝
crowded	[ˈkraʊdɪd] a. 拥挤的；塞满的
cell	[sel] n. 细胞；小房间；电池
respond	[rɪˈspɔnd] vi. 回答，答复；响应；作出反应
tropical	[ˈtrɒpɪkl] a. 热带的；炎热的
affluent	[ˈæfluənt] a. 丰富的，富裕的
submit	[səbˈmɪt] v. 屈从；提交
superb	[suːˈpɜːb; sjuːˈpɜːb] a. 极好的；高质量的
practical	[ˈprktɪkl] a. 实际的，实用的；实践的，应用的
inhumane	[ˏɪnhjuːˈmeɪn] a. 不近人情的，残忍的，不人道的
dissolve	__desolve__ [dɪˈzɔlv] v. 溶解；解散；结束
cultivation	[ˌkʌltɪˈveɪʃn] n. 耕种，耕作；培养，教育
brazen	[ˈbreɪzn] a. 黄铜制的，黄铜色的；厚颜无耻的
previous	[ˈpriːvɪəs] a. 以前的，在……之前的；早先的，稍前的
assumption	[əˈsʌmpʃn] n. 假定，假设；担任，承担
repay	[rɪˈpeɪ] v. 归还（款项）；报答
exuberant	[ɪgˈzjuːbərənt] a. 繁茂的，丰富的；非凡的；华而不实的
antibiotic	|
particulate	|
strategy	[ˈstrætədʒɪ] n. 战略，策略
span	|
